,RAW_TEXT_x,NAME_x,Extra_x,Library_x,test_x,Links_x,tmp_x,Start_Date_x,End_Date_x,Start_Date_Y_x,End_Date_Y_x,Location_x,Loc_Geo,Archives,Type,Amount,RAW_TEXT_y,NAME_y,Extra_y,Library_y,test_y,Links_y,tmp_y,Start_Date_y,End_Date_y,Start_Date_Y_y,End_Date_Y_y,Location_y,location,point,Lat,Lon,Info
10,"The Library of AksumThe kingdom of Aksum, by the first century CE, was a noted trading hub for Europe, Asia, and Africa. By the third century, it was the equal of the Roman, Persian, and Chinese empires. Aksum had a unique written language, Ge'ez, and their libraries held their own translation of the Christian Bible, and other important early Christian works. It is believed that Coptic monks translated many of these works. Notably, the Book of Enoch, a pre-Christian religious text, was originally written in Ge'ez. By the 7th century CE, the kingdom of Aksum fell due to Islamic expansion, agricultural difficulties, and a trading shift away from the Red Sea in favor of the Persian Gulf, but it is remembered as a society that celebrated literacy, education, and libraries.",Ethiopia,,The Library of AksumThe kingdom of Aksum,,None,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
11,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
12,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
13,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
14,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
15,Kos Library (Kos) (100 A.D.)The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Greece,The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Kos Library ,,None,,100 A.D.,Unknown,100 ,,Kos,"Kos, Greece",The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,,,Kos Library (Kos) (100 A.D.)The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Greece,The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Kos Library ,,None,,100 A.D.,Unknown,100 ,,Kos,"Δήμος Κω, Περιφερειακή Ενότητα Κω, Περιφέρεια Νοτίου Αιγαίου, Αιγαίο, Ελλάδα","(36.7939719, 27.0850810793972, 0.0)",36.7939719,27.0850810793972,"Kos Library , Creation Date: 100 A.D., Wiki link: None"
16,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Athens, Greece","Dedicated to both Athena Archegetis and the Roman emperor Hadrian the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built and he along with his children also devoted it to the citizens of Athens. While the precise date of its dedication is not clear it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",,98,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
17,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Athens, Greece","Dedicated to both Athena Archegetis and the Roman emperor Hadrian the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built and he along with his children also devoted it to the citizens of Athens. While the precise date of its dedication is not clear it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",,98,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
18,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Athens, Greece","Dedicated to both Athena Archegetis and the Roman emperor Hadrian the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built and he along with his children also devoted it to the citizens of Athens. While the precise date of its dedication is not clear it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",,98,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
19,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Athens, Greece","Dedicated to both Athena Archegetis and the Roman emperor Hadrian the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built and he along with his children also devoted it to the citizens of Athens. While the precise date of its dedication is not clear it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",,98,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
20,"The Library of Rhodes (Rhodes) (100 A.D.)The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.",Greece,"The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.",The Library of Rhodes ,,None,,100 A.D.,Unknown,100 ,,Rhodes,"Rhodes, Greece",The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog which classified titles by subject displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.,,,"The Library of Rhodes (Rhodes) (100 A.D.)The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.",Greece,"The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.",The Library of Rhodes ,,None,,100 A.D.,Unknown,100 ,,Rhodes,"Ρόδος, Δήμος Ρόδου, Περιφερειακή Ενότητα Ρόδου, Περιφέρεια Νοτίου Αιγαίου, Αιγαίο, 85100, Ελλάδα","(36.4379874, 28.2233083, 0.0)",36.4379874,28.2233083,"The Library of Rhodes , Creation Date: 100 A.D., Wiki link: None"
21,"Takshasila (6th to 5th century BC in modern-day Pakistan),",India,,Takshasila ,,None,,6th  B.C.,5 B.C.,-6  ,-5 ,,,,,,,,,,,,,,,,,,,,,,
22,"Nalanda (founded in 427) was considered ""one of the first great universities in recorded history"". In 1193, the Nalanda University complex was invaded and sacked by the Slave Dynasty under the Turkic Muslim general Bakhtiyar Khilji; this event is seen as a milestone in the decline of Buddhism in India.",India,,Nalanda ,Nalanda,https://en.wikipedia.org/wiki/Nalanda,Nalanda,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
23,Vikramshila (8th century),India,,Vikramshila ,Vikramashila,https://en.wikipedia.org/wiki/Vikramashila,Vikramashila,8 A.D.,Unknown,8 ,,,,,,,,,,,,,,,,,,,,,,,
24,"Kanchipuram and other universities, also maintained vast libraries of palm leaf manuscripts on various subjects, ranging from theology to astronomy.",India,,Kanchipuram and other universities,,None,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
25,"The Academy of Gondishapur in western Iran, established during the Persian Sassanid Empire in the 3rd through 6th centuries.The breadth of this institution was enormous and included a university, teaching hospital, and a library filled with over 400,000 titles. The academy was the epitome of the Sassanid Empire with its faculty highly proficient in the conventions of Zoroastrianism and ancient Persian as well as classical Indian scholarship.",Iran,,The Academy of Gondishapur in western Iran,,None,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
26,"The Library of Ashurbanipal (established 668â€“627 BC) in Nineveh (near modern Mosul, Iraq)Long considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.",Iraq,"Long considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.",The Library of Ashurbanipal ,Library of Ashurbanipal,https://en.wikipedia.org/wiki/Library_of_Ashurbanipal,Library of Ashurbanipal,Unknown,Unknown,,,Sul,"Sul, Iraq",Long considered to be the first systematically collected library was rediscovered in the 19th century. While the library had been destroyed many fragments of the ancient cuneiform tablets survived and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.,tablets,,"The Library of Ashurbanipal (established 668â€“627 BC) in Nineveh (near modern Mosul, Iraq)Long considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.",Iraq,"Long considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.",The Library of Ashurbanipal ,Library of Ashurbanipal,https://en.wikipedia.org/wiki/Library_of_Ashurbanipal,Library of Ashurbanipal,Unknown,Unknown,,,Sul,"قلالش سول, مخمور, هەولێر, هەرێمی کوردستان, العراق","(35.718958, 43.672395, 0.0)",35.718958,43.672395,"The Library of Ashurbanipal , Creation Date: Unknown, Wiki link: https://en.wikipedia.org/wiki/Library_of_Ashurbanipal"
27,Nippur temple library (2500 B.C.)The earliest version of the Great Flood was discovered here.,Iraq,,Nippur temple library ,,None,,2500 B.C.,Unknown,-2500 ,,,,,,,,,,,,,,,,,,,,,,,
28,"Nuzi (Modern Yorgan Tepe) (1500 B.C.)This archive consisted of over 6,000 tablets written primarily in Babylonian cuneiform, however a select few were composed in the indigenous Hurrian language.",Iraq,"This archive consisted of over 6,000 tablets written primarily in Babylonian cuneiform, however a select few were composed in the indigenous Hurrian language.",Nuzi ,Nuzi,https://en.wikipedia.org/wiki/Nuzi,Nuzi,1500 B.C.,Unknown,-1500 ,,Yorgan Tepe,"Yorgan Tepe, Iraq",This archive consisted of over 6000 tablets written primarily in Babylonian cuneiform however a select few were composed in the indigenous Hurrian language.,tablets,6000,,,,,,,,,,,,,,,,,
